Id,target
15576,0
94308,1
53983,0
61359,1
71383,0
108434,1
69374,0
118457,0
82524,0
138301,1
49615,0
107350,0
112840,1
99030,0
46607,0
24503,0
128264,1
98694,1
146484,1
123155,0
106978,0
8627,1
148825,1
16548,0
54150,1
130031,1
126361,1
118754,1
95425,1
141849,1
29802,0
100274,0
1124,0
23256,0
83425,0
91685,0
9960,0
47038,0
63212,1
136669,1
90158,0
120186,0
3634,0
72126,0
116979,1
104792,0
106729,0
25952,0
74789,0
120140,0
93623,0
62106,0
39508,0
39548,0
75677,1
44130,0
116689,0
81534,0
134769,1
123665,0
50523,1
147936,1
138403,1
20964,1
47483,0
127433,0
61823,0
32981,0
74940,1
53892,0
133557,1
77956,1
91960,1
103057,0
120986,0
83093,0
58027,0
91049,0
28609,0
27721,0
110878,1
57785,1
93866,1
97008,0
140337,1
37142,0
143719,1
105029,0
77259,0
45130,0
39035,0
66673,1
20634,0
11979,0
107884,0
115470,1
78479,1
104028,0
139539,1
122258,0
21541,0
45172,1
45122,0
17521,0
73569,0
136945,1
144474,1
129850,1
108270,0
65477,0
116400,1
27086,0
125860,0
4907,0
70582,0
33647,0
25037,0
40250,0
125618,1
96316,1
143751,0
112311,0
22377,0
73089,0
146810,1
59036,0
61616,0
73714,0
17372,0
35585,0
136176,0
84352,0
35913,0
54460,0
58126,0
149637,0
89023,0
30367,0
15306,1
146878,1
108892,0
102919,0
116117,0
107042,1
3036,0
142389,0
81903,0
135500,0
48706,0
128724,0
84473,0
19367,0
47293,0
140279,1
66394,0
50312,1
95397,0
100608,0
88251,1
7089,0
13712,0
36764,0
140959,0
47423,0
137457,1
141609,0
49408,0
106651,0
3163,0
69752,1
63571,0
134941,0
9705,0
114248,1
15626,0
12647,1
142385,0
14240,0
94654,0
19903,0
63751,1
127499,0
136721,1
36078,0
97505,1
53686,0
129805,0
1191,0
17892,0
85303,1
30779,0
6904,0
49871,1
115625,1
4900,0
25377,0
63718,0
52769,0
3334,0
24554,0
79624,1
65993,1
29449,0
13239,0
132626,0
52161,0
67150,1
51988,0
89652,0
68200,0
125460,1
77867,0
104976,1
81665,0
38202,0
75387,1
121526,1
62651,0
16541,1
96536,1
58651,0
38892,0
7429,0
87042,0
44510,1
55896,0
47631,1
129104,0
134544,0
52495,0
10513,0
79755,0
42411,0
867,0
9706,0
30134,0
40590,0
109754,0
69268,0
116802,0
144124,1
81626,0
84955,1
70329,0
134482,1
31517,1
79941,1
10433,0
107926,0
64453,0
42970,0
137598,0
4874,0
10865,0
20701,0
87114,0
129604,0
11687,0
5165,1
100313,1
9257,0
31872,0
86015,1
30683,0
73242,1
78047,0
31633,1
26024,0
9727,0
122532,0
99295,1
110586,0
63133,0
16598,0
97766,1
58115,0
115212,1
70190,0
52167,0
70989,0
104017,0
131934,1
44588,1
123394,0
9053,1
29139,0
79366,0
58824,0
84928,0
101578,1
69916,0
65848,1
98525,1
145114,1
93065,0
139055,0
44632,0
82496,1
93844,1
22949,0
15983,0
36912,0
70725,0
106397,1
126644,0
61012,0
44815,0
